X-SAMPA,IPA,Type,Description,Examples
a,a,Lowercase,open front unrounded vowel,French dame [dam]
b,b,Lowercase,voiced bilabial plosive,"English bed [bEd], French bon [bO~]"
b_<,ɓ,Lowercase,voiced bilabial implosive,Sindhi ɓarʊ [b_<arU]
c,c,Lowercase,voiceless palatal plosive,"Hungarian latyak [""lQcQk]"
d,d,Lowercase,voiced alveolar plosive,"English dig [dIg], French doigt [dwa]"
d`,ɖ,Lowercase,voiced retroflex plosive,Swedish hord [hu:d`]
d_<,ɗ,Lowercase,voiced alveolar implosive,Sindhi ɗarʊ [d_<arU]
e,e,Lowercase,close-mid front unrounded vowel,French ses [se]
f,f,Lowercase,voiceless labiodental fricative,"English five [faIv], French femme [fam]"
g,ɡ,Lowercase,voiced velar plosive,"English game [geIm], French longue [lO~g]"
g_<,ɠ,Lowercase,voiced velar implosive,Sindhi ɠəro [g_<@ro]
h,h,Lowercase,voiceless glottal fricative,English house [haUs]
h\,ɦ,Lowercase,voiced glottal fricative,Czech hrad [h\rat]
i,i,Lowercase,close front unrounded vowel,"English be [bi:], French oui [wi], Spanish si [si]"
j,j,Lowercase,palatal approximant,"English yes [jEs], French yeux [j2]"
j\,ʝ,Lowercase,voiced palatal fricative,Greek γειά [j\a]
k,k,Lowercase,voiceless velar plosive,"English scat [sk{t], Spanish carro [""karo]"
l,l,Lowercase,alveolar lateral approximant,"English lay [leI], French mal [mal]"
l`,ɭ,Lowercase,retroflex lateral approximant,Svealand Swedish sorl [so:l`]
l\,ɺ,Lowercase,alveolar lateral flap,Wayuu püülükü [pM:l\MkM]
m,m,Lowercase,bilabial nasal,"English mouse [maUs], French homme [Om]"
n,n,Lowercase,alveolar nasal,"English nap [n{p], French non [nO~]"
n`,ɳ,Lowercase,retroflex nasal,Swedish hörn [h2:n`]
o,o,Lowercase,close-mid back rounded vowel,French gros [gRo]
p,p,Lowercase,voiceless bilabial plosive,"English speak [spik], French pose [poz], Spanish perro [""pero]"
p\,ɸ,Lowercase,voiceless bilabial fricative,Japanese fuku [p\M_0kM]
q,q,Lowercase,voiceless uvular plosive,"Arabic qasbah [""qQs_Gba]"
r,r,Lowercase,alveolar trill,"Spanish perro [""pero]"
r`,ɽ,Lowercase,retroflex flap,Bengali gari [gar`i:]
r\,ɹ,Lowercase,alveolar approximant,English red [r\Ed]
r\`,ɻ,Lowercase,retroflex approximant,"Malayalam വഴി [""v@r\`i]"
s,s,Lowercase,voiceless alveolar fricative,"English seem [si:m], French session [se""sjO~]"
s`,ʂ,Lowercase,voiceless retroflex fricative,Swedish mars [mas`]
s\,ɕ,Lowercase,voiceless alveolo-palatal fricative,Polish świerszcz [s\v'erStS]
t,t,Lowercase,voiceless alveolar plosive,"English stew [stju:], French raté [Ra""te]"
t`,ʈ,Lowercase,voiceless retroflex plosive,Swedish mört [m2t`]
u,u,Lowercase,close back rounded vowel,"English boom [bu:m], Spanish su [su]"
v,v,Lowercase,voiced labiodental fricative,"English vest [vEst], French voix [vwa]"
v\ (or P),ʋ,Lowercase,labiodental approximant,Dutch west [v\Est]/[PEst]
w,w,Lowercase,labial-velar approximant,"English west [wEst], French oui [wi]"
x,x,Lowercase,voiceless velar fricative,"Scots loch [lOx] or [5Ox]; German Buch, Dach; Spanish caja, gestión"
x\,ɧ,Lowercase,voiceless palatal-velar fricative,Swedish sjal [x\A:l]
y,y,Lowercase,close front rounded vowel,"French tu [ty] German über [""y:b6]"
z,z,Lowercase,voiced alveolar fricative,"English zoo [zu:], French azote [a""zOt]"
z`,ʐ,Lowercase,voiced retroflex fricative,Mandarin Chinese rang [z`aN]
z\,ʑ,Lowercase,voiced alveolo-palatal fricative,"Polish źrebak [""z\rEbak]"
A,ɑ,Uppercase,open back unrounded vowel,"English father [""fA:D@(r\)] (RP and Gen.Am.)"
B,β,Uppercase,voiced bilabial fricative,"Spanish lavar [la""Ba4]"
B\,ʙ,Uppercase,bilabial trill,"Reminiscent of shivering (""brrr"")"
C,ç,Uppercase,voiceless palatal fricative,"German ich [IC], English human [""Cjum@n] (broad transcription uses [hj-])"
D,ð,Uppercase,voiced dental fricative,English then [DEn]
E,ɛ,Uppercase,open-mid front unrounded vowel,"French même [mEm], English met [mEt] (RP and Gen.Am.)"
F,ɱ,Uppercase,labiodental nasal,"English emphasis [""EFf@sIs] (spoken quickly, otherwise uses [Emf-])"
G,ɣ,Uppercase,voiced velar fricative,"Greek γωνία [Go""nia]"
G\,ɢ,Uppercase,voiced uvular plosive,Inuktitut nirivvik [niG\ivvik]
G\_<,ʛ,Uppercase,voiced uvular implosive,Mam ʛa [G\_<a]
H,ɥ,Uppercase,labial-palatal approximant,French huit [Hit]
H\,ʜ,Uppercase,voiceless epiglottal fricative,
I,ɪ,Uppercase,near-close front unrounded vowel,English kit [kIt]
I\,ɪ̈ or ɨ̞[2],Uppercase,near-close central unrounded vowel,Polish ryba [rI\bA] 
J,ɲ,Uppercase,palatal nasal,"Spanish año [""aJo], English canyon [""k{J@n] (broad transcription uses [-nj-])"
J\,ɟ,Uppercase,voiced palatal plosive,Hungarian egy [EJ\]
J\_<,ʄ,Uppercase,voiced palatal implosive,Sindhi ʄaro [J\_<aro]
K,ɬ,Uppercase,voiceless alveolar lateral fricative,Welsh llaw [KaU]
K\,ɮ,Uppercase,voiced alveolar lateral fricative,
L,ʎ,Uppercase,palatal lateral approximant,"Italian famiglia [fa""miLLa], Castilian llamar [La""mar]"
L\,ʟ,Uppercase,velar lateral approximant,
M,ɯ,Uppercase,close back unrounded vowel,Korean 음식 [M:ms\_hik_}]
M\,ɰ,Uppercase,velar approximant,"Spanish fuego [""fweM\o]"
N,ŋ,Uppercase,velar nasal,English thing [TIN]
N\,ɴ,Uppercase,uvular nasal,Japanese san [saN\]
O,ɔ,Uppercase,open-mid back rounded vowel,American English off [O:f]
O\,ʘ,Uppercase,bilabial click,
P (or v\),ʋ,Uppercase,labiodental approximant,"Dutch west [PEst]/[v\Est], allophone of English phoneme /r\/"
Q,ɒ,Uppercase,open back rounded vowel,RP lot [lQt]
R,ʁ,Uppercase,voiced uvular fricative,German rein [RaIn]
